image_path,ticker,date,label,label_id,RSI,MACD,MACD_signal,forward_return,trend_score,split
D:\full-stack2\data\charts\TSLA\2022-02-08.png,TSLA,2022-02-08,Down,0,30.99,-18.4033,0.0,-0.1713,-1.1976,train
D:\full-stack2\data\charts\AMZN\2022-02-08.png,AMZN,2022-02-08,Down,0,50.43,-2.538,0.0,-0.1028,-0.7565,train
D:\full-stack2\data\charts\NVDA\2022-02-08.png,NVDA,2022-02-08,Down,0,38.48,-0.9578,0.0,-0.1084,-1.0007,train
D:\full-stack2\data\charts\META\2022-02-08.png,META,2022-02-08,Neutral,1,18.88,-23.4046,0.0,-0.0987,-0.4959,train
D:\full-stack2\data\charts\NFLX\2022-02-08.png,NFLX,2022-02-08,Neutral,1,32.49,-3.9255,0.0,-0.0894,-0.4327,train
D:\full-stack2\data\charts\AAPL\2022-02-09.png,AAPL,2022-02-09,Down,0,49.41,-0.1743,0.0,-0.0768,-1.1889,train
D:\full-stack2\data\charts\GOOGL\2022-02-09.png,GOOGL,2022-02-09,Down,0,52.82,0.2909,0.0,-0.0629,-0.7718,train
D:\full-stack2\data\charts\MSFT\2022-02-09.png,MSFT,2022-02-09,Down,0,43.0,-3.5352,0.0,-0.0514,-0.7643,train
D:\full-stack2\data\charts\TSLA\2022-02-09.png,TSLA,2022-02-09,Down,0,32.54,-16.9036,0.0,-0.1408,-0.9825,train
D:\full-stack2\data\charts\AMZN\2022-02-09.png,AMZN,2022-02-09,Neutral,1,50.23,-1.6402,0.0,-0.061,-0.4527,train
D:\full-stack2\data\charts\NVDA\2022-02-09.png,NVDA,2022-02-09,Down,0,47.48,-0.7135,0.0,-0.1107,-0.9403,train
D:\full-stack2\data\charts\META\2022-02-09.png,META,2022-02-09,Down,0,25.66,-24.8424,0.0,-0.1052,-0.516,train
D:\full-stack2\data\charts\NFLX\2022-02-09.png,NFLX,2022-02-09,Neutral,1,35.41,-3.7043,0.0,-0.0554,-0.2663,train
D:\full-stack2\data\charts\AAPL\2022-02-10.png,AAPL,2022-02-10,Down,0,43.08,-0.1505,0.0,-0.0422,-0.6323,train
D:\full-stack2\data\charts\GOOGL\2022-02-10.png,GOOGL,2022-02-10,Neutral,1,48.12,0.2391,0.0,-0.03,-0.3641,train
D:\full-stack2\data\charts\MSFT\2022-02-10.png,MSFT,2022-02-10,Neutral,1,38.09,-3.5484,0.0,-0.0147,-0.2117,train
D:\full-stack2\data\charts\TSLA\2022-02-10.png,TSLA,2022-02-10,Down,0,30.52,-16.266,0.0,-0.1047,-0.7467,train
D:\full-stack2\data\charts\AMZN\2022-02-10.png,AMZN,2022-02-10,Neutral,1,48.17,-1.0925,0.0,-0.0328,-0.2429,train
D:\full-stack2\data\charts\NVDA\2022-02-10.png,NVDA,2022-02-10,Down,0,43.69,-0.5842,0.0,-0.0646,-0.5394,train
D:\full-stack2\data\charts\META\2022-02-10.png,META,2022-02-10,Neutral,1,24.92,-25.9969,0.0,-0.0771,-0.3788,train
D:\full-stack2\data\charts\NFLX\2022-02-10.png,NFLX,2022-02-10,Neutral,1,34.28,-3.5416,0.0,-0.0381,-0.1832,train
D:\full-stack2\data\charts\AAPL\2022-02-11.png,AAPL,2022-02-11,Neutral,1,38.62,-0.4021,0.0,-0.0209,-0.3116,train
D:\full-stack2\data\charts\GOOGL\2022-02-11.png,GOOGL,2022-02-11,Neutral,1,42.21,-0.1474,0.0,0.0058,0.0685,train
D:\full-stack2\data\charts\MSFT\2022-02-11.png,MSFT,2022-02-11,Neutral,1,34.56,-4.0836,0.0,0.0148,0.2272,train
D:\full-stack2\data\charts\TSLA\2022-02-11.png,TSLA,2022-02-11,Neutral,1,27.53,-16.7656,0.0,0.0121,0.0887,train
D:\full-stack2\data\charts\AMZN\2022-02-11.png,AMZN,2022-02-11,Neutral,1,43.18,-1.1065,0.0,0.0018,0.0129,train
D:\full-stack2\data\charts\NVDA\2022-02-11.png,NVDA,2022-02-11,Neutral,1,36.92,-0.6254,0.0,0.0182,0.1456,train
D:\full-stack2\data\charts\META\2022-02-11.png,META,2022-02-11,Neutral,1,23.33,-27.2795,0.0,-0.0388,-0.1901,train
D:\full-stack2\data\charts\NFLX\2022-02-11.png,NFLX,2022-02-11,Neutral,1,31.81,-3.4932,0.0,0.0082,0.0394,train
D:\full-stack2\data\charts\AAPL\2022-02-14.png,AAPL,2022-02-14,Down,0,39.09,-0.5759,0.0,-0.0336,-0.5031,train
D:\full-stack2\data\charts\GOOGL\2022-02-14.png,GOOGL,2022-02-14,Neutral,1,44.32,-0.3501,0.0,-0.0108,-0.1281,train
D:\full-stack2\data\charts\MSFT\2022-02-14.png,MSFT,2022-02-14,Neutral,1,34.54,-4.4594,0.0,0.0019,0.0298,train
D:\full-stack2\data\charts\TSLA\2022-02-14.png,TSLA,2022-02-14,Neutral,1,30.13,-16.547,0.0,-0.013,-0.0951,train
D:\full-stack2\data\charts\AMZN\2022-02-14.png,AMZN,2022-02-14,Neutral,1,45.18,-0.9554,0.0,-0.0259,-0.1899,train
D:\full-stack2\data\charts\NVDA\2022-02-14.png,NVDA,2022-02-14,Neutral,1,38.65,-0.6253,0.0,-0.0326,-0.2604,train
D:\full-stack2\data\charts\META\2022-02-14.png,META,2022-02-14,Neutral,1,22.99,-28.1199,0.0,-0.0653,-0.322,train
D:\full-stack2\data\charts\NFLX\2022-02-14.png,NFLX,2022-02-14,Neutral,1,33.62,-3.3734,0.0,-0.026,-0.1252,train
D:\full-stack2\data\charts\AAPL\2022-02-15.png,AAPL,2022-02-15,Down,0,46.28,-0.3999,0.0,-0.0361,-0.5339,train
D:\full-stack2\data\charts\GOOGL\2022-02-15.png,GOOGL,2022-02-15,Neutral,1,46.16,-0.4193,0.0,-0.0149,-0.1805,train
D:\full-stack2\data\charts\MSFT\2022-02-15.png,MSFT,2022-02-15,Neutral,1,39.4,-4.2818,0.0,0.0011,0.018,train
D:\full-stack2\data\charts\TSLA\2022-02-15.png,TSLA,2022-02-15,Neutral,1,37.32,-14.9461,0.0,-0.0461,-0.322,train
D:\full-stack2\data\charts\AMZN\2022-02-15.png,AMZN,2022-02-15,Neutral,1,46.64,-0.7189,0.0,-0.0285,-0.2093,train
D:\full-stack2\data\charts\NVDA\2022-02-15.png,NVDA,2022-02-15,Down,0,49.2,-0.4407,0.0,-0.0857,-0.6145,train
D:\full-stack2\data\charts\META\2022-02-15.png,META,2022-02-15,Neutral,1,25.1,-28.1967,0.0,-0.0583,-0.2869,train
D:\full-stack2\data\charts\NFLX\2022-02-15.png,NFLX,2022-02-15,Neutral,1,37.33,-3.1543,0.0,-0.0673,-0.3213,train
D:\full-stack2\data\charts\AAPL\2022-02-16.png,AAPL,2022-02-16,Down,0,45.92,-0.2762,0.0,-0.0366,-0.5589,train
D:\full-stack2\data\charts\GOOGL\2022-02-16.png,GOOGL,2022-02-16,Neutral,1,48.09,-0.3794,0.0,-0.0279,-0.3373,train
D:\full-stack2\data\charts\MSFT\2022-02-16.png,MSFT,2022-02-16,Neutral,1,39.2,-4.1209,0.0,-0.012,-0.1898,train
D:\full-stack2\data\charts\TSLA\2022-02-16.png,TSLA,2022-02-16,Down,0,37.46,-13.496,0.0,-0.0911,-0.6433,train
D:\full-stack2\data\charts\AMZN\2022-02-16.png,AMZN,2022-02-16,Neutral,1,48.38,-0.3986,0.0,-0.0645,-0.4756,train
D:\full-stack2\data\charts\NVDA\2022-02-16.png,NVDA,2022-02-16,Down,0,49.27,-0.2898,0.0,-0.1054,-0.7682,train
D:\full-stack2\data\charts\META\2022-02-16.png,META,2022-02-16,Neutral,1,24.14,-28.2886,0.0,-0.0627,-0.3091,train
D:\full-stack2\data\charts\NFLX\2022-02-16.png,NFLX,2022-02-16,Neutral,1,35.49,-3.0215,0.0,-0.0754,-0.3603,train
D:\full-stack2\data\charts\AAPL\2022-02-17.png,AAPL,2022-02-17,Down,0,40.73,-0.4629,0.0,-0.0338,-0.5042,train
D:\full-stack2\data\charts\GOOGL\2022-02-17.png,GOOGL,2022-02-17,Neutral,1,40.83,-0.7551,0.0,-0.0048,-0.0551,train
D:\full-stack2\data\charts\MSFT\2022-02-17.png,MSFT,2022-02-17,Neutral,1,34.46,-4.6246,0.0,-0.003,-0.0452,train
D:\full-stack2\data\charts\TSLA\2022-02-17.png,TSLA,2022-02-17,Neutral,1,33.45,-13.4569,0.0,-0.0434,-0.2983,train
D:\full-stack2\data\charts\AMZN\2022-02-17.png,AMZN,2022-02-17,Neutral,1,44.95,-0.4181,0.0,-0.0583,-0.4322,train
D:\full-stack2\data\charts\NVDA\2022-02-17.png,NVDA,2022-02-17,Neutral,1,41.78,-0.3278,0.0,-0.0639,-0.439,train
D:\full-stack2\data\charts\META\2022-02-17.png,META,2022-02-17,Neutral,1,22.32,-28.7371,0.0,-0.0368,-0.1811,train
D:\full-stack2\data\charts\NFLX\2022-02-17.png,NFLX,2022-02-17,Neutral,1,33.34,-2.974,0.0,-0.0645,-0.3077,train
D:\full-stack2\data\charts\AAPL\2022-02-18.png,AAPL,2022-02-18,Down,0,38.7,-0.7275,-0.4882,-0.0478,-0.7167,train
D:\full-stack2\data\charts\GOOGL\2022-02-18.png,GOOGL,2022-02-18,Neutral,1,38.28,-1.2099,-0.4591,-0.0309,-0.3594,train
D:\full-stack2\data\charts\MSFT\2022-02-18.png,MSFT,2022-02-18,Neutral,1,33.09,-5.1826,-4.4369,-0.0313,-0.48,train
D:\full-stack2\data\charts\TSLA\2022-02-18.png,TSLA,2022-02-18,Neutral,1,31.93,-13.788,-15.2723,-0.0611,-0.4308,train
D:\full-stack2\data\charts\AMZN\2022-02-18.png,AMZN,2022-02-18,Down,0,43.0,-0.5923,-1.0127,-0.0993,-0.7784,train
D:\full-stack2\data\charts\NVDA\2022-02-18.png,NVDA,2022-02-18,Down,0,39.03,-0.4227,-0.5327,-0.0967,-0.662,train
D:\full-stack2\data\charts\META\2022-02-18.png,META,2022-02-18,Neutral,1,22.0,-28.8837,-27.3059,-0.0907,-0.4473,train
D:\full-stack2\data\charts\NFLX\2022-02-18.png,NFLX,2022-02-18,Down,0,35.06,-2.8661,-3.2637,-0.1049,-0.7345,train
D:\full-stack2\data\charts\AAPL\2022-02-22.png,AAPL,2022-02-22,Down,0,35.15,-1.1594,-0.6224,-0.0419,-0.6156,train
D:\full-stack2\data\charts\GOOGL\2022-02-22.png,GOOGL,2022-02-22,Neutral,1,37.58,-1.5991,-0.6871,-0.0209,-0.2429,train
D:\full-stack2\data\charts\MSFT\2022-02-22.png,MSFT,2022-02-22,Down,0,32.98,-5.577,-4.6649,-0.0413,-0.6323,train
D:\full-stack2\data\charts\TSLA\2022-02-22.png,TSLA,2022-02-22,Neutral,1,29.31,-14.8329,-15.1844,0.0035,0.0242,train
D:\full-stack2\data\charts\AMZN\2022-02-22.png,AMZN,2022-02-22,Down,0,40.76,-0.9138,-0.9929,-0.0944,-0.7372,train
D:\full-stack2\data\charts\NVDA\2022-02-22.png,NVDA,2022-02-22,Down,0,38.24,-0.5123,-0.5286,-0.08,-0.547,train
D:\full-stack2\data\charts\META\2022-02-22.png,META,2022-02-22,Neutral,1,21.16,-28.9923,-27.6432,-0.0583,-0.2903,train
D:\full-stack2\data\charts\NFLX\2022-02-22.png,NFLX,2022-02-22,Down,0,32.36,-2.8598,-3.183,-0.0944,-0.6562,train
D:\full-stack2\data\charts\AAPL\2022-02-23.png,AAPL,2022-02-23,Neutral,1,30.8,-1.8167,-0.8613,0.018,0.2565,train
D:\full-stack2\data\charts\GOOGL\2022-02-23.png,GOOGL,2022-02-23,Up,2,34.98,-2.0618,-0.962,0.0457,0.5435,train
D:\full-stack2\data\charts\MSFT\2022-02-23.png,MSFT,2022-02-23,Neutral,1,29.37,-6.3973,-5.0114,0.0294,0.451,train
D:\full-stack2\data\charts\TSLA\2022-02-23.png,TSLA,2022-02-23,Up,2,25.64,-17.0112,-15.5498,0.1242,0.8211,train
D:\full-stack2\data\charts\AMZN\2022-02-23.png,AMZN,2022-02-23,Neutral,1,36.22,-1.5837,-1.111,-0.0383,-0.2976,train
D:\full-stack2\data\charts\NVDA\2022-02-23.png,NVDA,2022-02-23,Neutral,1,35.18,-0.6565,-0.5542,0.0282,0.193,train
D:\full-stack2\data\charts\META\2022-02-23.png,META,2022-02-23,Neutral,1,20.41,-29.0343,-27.9214,0.0003,0.0013,train
D:\full-stack2\data\charts\NFLX\2022-02-23.png,NFLX,2022-02-23,Neutral,1,30.55,-2.9015,-3.1267,-0.0236,-0.1688,train
D:\full-stack2\data\charts\AAPL\2022-02-24.png,AAPL,2022-02-24,Neutral,1,36.14,-2.1024,-1.1095,-0.0259,-0.3648,train
D:\full-stack2\data\charts\GOOGL\2022-02-24.png,GOOGL,2022-02-24,Neutral,1,44.46,-1.9971,-1.169,-0.002,-0.0224,train
D:\full-stack2\data\charts\MSFT\2022-02-24.png,MSFT,2022-02-24,Neutral,1,42.4,-5.862,-5.1815,-0.0306,-0.4237,train
D:\full-stack2\data\charts\TSLA\2022-02-24.png,TSLA,2022-02-24,Neutral,1,31.54,-17.5474,-15.9493,0.0469,0.3019,train
D:\full-stack2\data\charts\AMZN\2022-02-24.png,AMZN,2022-02-24,Neutral,1,44.33,-1.5695,-1.2027,-0.03,-0.2275,train
D:\full-stack2\data\charts\NVDA\2022-02-24.png,NVDA,2022-02-24,Neutral,1,41.96,-0.6537,-0.5741,-0.0457,-0.3018,train
D:\full-stack2\data\charts\META\2022-02-24.png,META,2022-02-24,Neutral,1,27.39,-28.0121,-27.9396,-0.0597,-0.2898,train
D:\full-stack2\data\charts\NFLX\2022-02-24.png,NFLX,2022-02-24,Down,0,38.91,-2.721,-3.0455,-0.0853,-0.5872,train
D:\full-stack2\data\charts\AAPL\2022-02-25.png,AAPL,2022-02-25,Down,0,40.08,-2.1373,-1.315,-0.0614,-0.8589,train
D:\full-stack2\data\charts\GOOGL\2022-02-25.png,GOOGL,2022-02-25,Neutral,1,47.33,-1.7838,-1.292,-0.0341,-0.3871,train
D:\full-stack2\data\charts\MSFT\2022-02-25.png,MSFT,2022-02-25,Down,0,44.5,-5.166,-5.1784,-0.058,-0.8053,train
D:\full-stack2\data\charts\TSLA\2022-02-25.png,TSLA,2022-02-25,Neutral,1,32.96,-17.5254,-16.2645,-0.0179,-0.1351,train
D:\full-stack2\data\charts\AMZN\2022-02-25.png,AMZN,2022-02-25,Neutral,1,47.03,-1.3466,-1.2315,-0.0537,-0.4068,train
D:\full-stack2\data\charts\NVDA\2022-02-25.png,NVDA,2022-02-25,Down,0,43.86,-0.6115,-0.5816,-0.085,-0.5709,train
D:\full-stack2\data\charts\META\2022-02-25.png,META,2022-02-25,Down,0,29.49,-26.6641,-27.6845,-0.1087,-0.5256,train
D:\full-stack2\data\charts\NFLX\2022-02-25.png,NFLX,2022-02-25,Down,0,39.18,-2.5424,-2.9449,-0.1292,-0.953,train
D:\full-stack2\data\charts\AAPL\2022-02-28.png,AAPL,2022-02-28,Down,0,40.58,-2.1192,-1.4759,-0.0878,-1.7315,train
D:\full-stack2\data\charts\GOOGL\2022-02-28.png,GOOGL,2022-02-28,Down,0,48.3,-1.549,-1.3434,-0.0674,-0.7924,train
D:\full-stack2\data\charts\MSFT\2022-02-28.png,MSFT,2022-02-28,Down,0,45.66,-4.4475,-5.0322,-0.0748,-1.0834,train
D:\full-stack2\data\charts\TSLA\2022-02-28.png,TSLA,2022-02-28,Down,0,41.64,-15.6982,-16.1513,-0.1196,-0.8397,train
D:\full-stack2\data\charts\AMZN\2022-02-28.png,AMZN,2022-02-28,Down,0,46.81,-1.1746,-1.2201,-0.0763,-0.583,train
D:\full-stack2\data\charts\NVDA\2022-02-28.png,NVDA,2022-02-28,Down,0,44.94,-0.5532,-0.5759,-0.1251,-0.8533,train
D:\full-stack2\data\charts\META\2022-02-28.png,META,2022-02-28,Down,0,29.91,-25.2605,-27.1997,-0.1156,-0.5635,train
D:\full-stack2\data\charts\NFLX\2022-02-28.png,NFLX,2022-02-28,Down,0,40.55,-2.3439,-2.8247,-0.161,-1.1877,train
D:\full-stack2\data\charts\AAPL\2022-03-01.png,AAPL,2022-03-01,Down,0,38.12,-2.2309,-1.6269,-0.0497,-1.0614,train
D:\full-stack2\data\charts\GOOGL\2022-03-01.png,GOOGL,2022-03-01,Neutral,1,46.75,-1.4262,-1.3599,-0.0363,-0.4286,train
D:\full-stack2\data\charts\MSFT\2022-03-01.png,MSFT,2022-03-01,Neutral,1,43.14,-4.1303,-4.8518,-0.0264,-0.3828,train
D:\full-stack2\data\charts\TSLA\2022-03-01.png,TSLA,2022-03-01,Down,0,41.06,-14.2489,-15.7708,-0.0723,-0.6058,train
D:\full-stack2\data\charts\AMZN\2022-03-01.png,AMZN,2022-03-01,Neutral,1,44.34,-1.2196,-1.22,-0.025,-0.1939,train
D:\full-stack2\data\charts\NVDA\2022-03-01.png,NVDA,2022-03-01,Neutral,1,41.51,-0.5736,-0.5754,-0.0213,-0.1518,train
D:\full-stack2\data\charts\META\2022-03-01.png,META,2022-03-01,Neutral,1,27.51,-24.4698,-26.6537,-0.0563,-0.2793,train
D:\full-stack2\data\charts\NFLX\2022-03-01.png,NFLX,2022-03-01,Down,0,38.48,-2.2277,-2.7053,-0.11,-1.0075,train
D:\full-stack2\data\charts\AAPL\2022-03-02.png,AAPL,2022-03-02,Down,0,44.47,-2.0304,-1.7076,-0.0418,-0.8409,train
D:\full-stack2\data\charts\GOOGL\2022-03-02.png,GOOGL,2022-03-02,Neutral,1,47.68,-1.2734,-1.3426,-0.0096,-0.1146,train
D:\full-stack2\data\charts\MSFT\2022-03-02.png,MSFT,2022-03-02,Neutral,1,47.4,-3.4303,-4.5675,-0.0193,-0.2744,train
D:\full-stack2\data\charts\TSLA\2022-03-02.png,TSLA,2022-03-02,Neutral,1,43.22,-12.5383,-15.1243,-0.0451,-0.3749,train
D:\full-stack2\data\charts\AMZN\2022-03-02.png,AMZN,2022-03-02,Neutral,1,45.5,-1.1683,-1.2097,0.0069,0.0537,train
D:\full-stack2\data\charts\NVDA\2022-03-02.png,NVDA,2022-03-02,Neutral,1,45.22,-0.5236,-0.5651,0.0114,0.0802,train
D:\full-stack2\data\charts\META\2022-03-02.png,META,2022-03-02,Neutral,1,31.15,-23.2058,-25.9641,-0.0215,-0.1065,train
D:\full-stack2\data\charts\NFLX\2022-03-02.png,NFLX,2022-03-02,Down,0,36.96,-2.1608,-2.5964,-0.0592,-0.6289,train
D:\full-stack2\data\charts\AAPL\2022-03-03.png,AAPL,2022-03-03,Down,0,43.99,-1.8759,-1.7412,-0.0337,-0.6847,train
D:\full-stack2\data\charts\GOOGL\2022-03-03.png,GOOGL,2022-03-03,Neutral,1,46.53,-1.1923,-1.3126,-0.0005,-0.0073,train
D:\full-stack2\data\charts\MSFT\2022-03-03.png,MSFT,2022-03-03,Neutral,1,44.48,-3.1723,-4.2885,-0.0024,-0.0338,train
D:\full-stack2\data\charts\TSLA\2022-03-03.png,TSLA,2022-03-03,Neutral,1,39.18,-12.1348,-14.5264,0.0385,0.313,train
D:\full-stack2\data\charts\AMZN\2022-03-03.png,AMZN,2022-03-03,Neutral,1,41.26,-1.4462,-1.257,0.0632,0.485,train
D:\full-stack2\data\charts\NVDA\2022-03-03.png,NVDA,2022-03-03,Neutral,1,43.22,-0.5187,-0.5558,0.0444,0.3131,train
D:\full-stack2\data\charts\META\2022-03-03.png,META,2022-03-03,Neutral,1,29.38,-22.3578,-25.2429,0.024,0.1195,train
D:\full-stack2\data\charts\NFLX\2022-03-03.png,NFLX,2022-03-03,Neutral,1,34.16,-2.1791,-2.5129,0.009,0.1031,train
D:\full-stack2\data\charts\AAPL\2022-03-04.png,AAPL,2022-03-04,Neutral,1,39.73,-1.9727,-1.7875,0.005,0.1002,train
D:\full-stack2\data\charts\GOOGL\2022-03-04.png,GOOGL,2022-03-04,Up,2,43.21,-1.2728,-1.3046,0.032,0.5463,train
D:\full-stack2\data\charts\MSFT\2022-03-04.png,MSFT,2022-03-04,Up,2,40.65,-3.4017,-4.1111,0.0365,0.553,train
D:\full-stack2\data\charts\TSLA\2022-03-04.png,TSLA,2022-03-04,Up,2,39.09,-11.707,-13.9625,0.08,0.6528,train
D:\full-stack2\data\charts\AMZN\2022-03-04.png,AMZN,2022-03-04,Up,2,39.12,-1.8275,-1.3711,0.1072,0.9133,train
D:\full-stack2\data\charts\NVDA\2022-03-04.png,NVDA,2022-03-04,Up,2,40.27,-0.5709,-0.5588,0.1533,1.1041,train
D:\full-stack2\data\charts\META\2022-03-04.png,META,2022-03-04,Up,2,28.4,-21.669,-24.5281,0.0821,0.9443,train
D:\full-stack2\data\charts\NFLX\2022-03-04.png,NFLX,2022-03-04,Up,2,32.74,-2.2193,-2.4542,0.0522,0.6475,train
D:\full-stack2\data\charts\AAPL\2022-03-07.png,AAPL,2022-03-07,Up,2,35.11,-2.3286,-1.8957,0.0382,0.738,train
D:\full-stack2\data\charts\GOOGL\2022-03-07.png,GOOGL,2022-03-07,Up,2,35.63,-1.7588,-1.3955,0.0769,1.1981,train
D:\full-stack2\data\charts\MSFT\2022-03-07.png,MSFT,2022-03-07,Up,2,34.81,-4.3876,-4.1664,0.0726,1.0474,train
D:\full-stack2\data\charts\TSLA\2022-03-07.png,TSLA,2022-03-07,Up,2,35.87,-12.1347,-13.597,0.1449,1.1886,train
D:\full-stack2\data\charts\AMZN\2022-03-07.png,AMZN,2022-03-07,Up,2,32.54,-2.7586,-1.6486,0.1749,2.3723,train
